Cell Id,Channel Label,mean_radius (um),volume (um^3),particle_contour_distance (um),particle_contour_distance_relative,
1,cut11,1.046223,4.796914,
1,lacO,,,0.204216,0.195194,
2,cut11,1.079362,5.267331,
2,lacO,,,0.603311,0.558951,
3,cut11,1.069978,5.131130,
3,lacO,,,0.347539,0.324809,
4,cut11,1.063728,5.041744,
4,lacO,,,0.292443,0.274923,
5,cut11,1.167102,6.659092,
5,lacO,,,0.423492,0.362857,
