Cell Id,Channel Label,mean_radius (um),volume (um^3),particle_contour_distance (um),
1,cut11,1.046216,4.796807,
1,lacO,,,0.204436,
2,cut11,1.079363,5.267331,
2,lacO,,,0.603311,
3,cut11,1.069978,5.131130,
3,lacO,,,0.347539,
4,cut11,1.063728,5.041745,
4,lacO,,,0.292443,
5,cut11,1.167192,6.660639,
5,lacO,,,0.424054,
